ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),distance_km
0x36b8 ,PUNERES19DEL02 ,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20:00,20:25:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,(min) 36,16.5546
0x5795 ,RANCHIRES06DEL02 ,31,4.7,23.357804,85.325146,23.487804,85.455146,10/3/2022,22:30:00,22:45:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 26,24.5071
0x6c6b ,COIMBRES13DEL01 ,37,5,11.003669,76.976494,11.013669,76.986494,11/3/2022,8:15:00,8:30:00,conditions Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 20,2.0249
0xb816 ,CHENRES19DEL02 ,33,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30:00,19:45:00,conditions Windy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 39,21.0858
0x539b ,MUMRES02DEL01 ,25,4,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25:00,12:30:00,conditions Cloudy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 34,8.9413
0xa1b2 ,CHENRES01DEL01 ,29,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35:00,18:50:00,conditions Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,(min) 15,14.3534
0x3231 ,JAPRES16DEL03 ,27,5,26.849596,75.800512,26.879596,75.830512,5/4/2022,20:35:00,20:40:00,conditions Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,(min) 18,6.0168
0x8bc0 ,SURRES15DEL03 ,35,4.3,21.160522,72.771477,21.250522,72.861477,12/3/2022,23:20:00,23:30:00,conditions Cloudy,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 38,15.7674
0x2288 ,BANGRES09DEL03 ,32,4,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20:00,21:35:00,conditions Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 47,17.0411
0x3c5e ,PUNERES04DEL01 ,23,4.8,18.51421,73.838429,18.62421,73.948429,2/4/2022,23:35:00,23:45:00,conditions Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,(min) 12,20.5148
0x3e60 ,COIMBRES02DEL03 ,31,4.8,11.022477,76.995667,11.052477,77.025667,1/4/2022,22:35:00,22:50:00,conditions Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 26,6.8376
0xbff ,SURRES16DEL02 ,36,4.1,21.160437,72.774209,21.210437,72.824209,5/3/2022,22:35:00,22:40:00,conditions Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 22,9.1034
0xd936 ,GOARES15DEL02 ,26,4.3,15.51315,73.78346,15.56315,73.83346,11/2/2022,23:25:00,23:35:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 21,12.1727
0xd681 ,GOARES07DEL01 ,38,4.9,15.561295,73.749478,15.601295,73.789478,11/2/2022,13:35:00,13:40:00,conditions Cloudy,High ,1,Drinks ,scooter ,1,No ,Urban ,(min) 25,9.29
0x30c8 ,PUNERES19DEL02 ,32,4.6,18.563934,73.915367,18.693935,74.045367,2/4/2022,22:35:00,22:45:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 30,26.0865
0xb843 ,PUNERES02DEL01 ,33,4.9,18.55144,73.804855,18.62144,73.874855,8/3/2022,18:55:00,19:10:00,conditions Sunny,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 22,18.5509
0xb3a0 ,PUNERES18DEL01 ,20,4.7,18.593481,73.785901,18.633481,73.825901,3/4/2022,14:15:00,14:25:00,conditions Windy,High ,1,Snack ,scooter ,0,No ,Urban ,(min) 10,8.4773
0x6531 ,SURRES08DEL01 ,20,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,11:00:00,11:10:00,conditions Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 19,1.907
0x4bda ,HYDRES17DEL02 ,35,5,17.451976,78.385883,17.471976,78.405883,1/4/2022,9:45:00,9:55:00,conditions Sunny,Low ,2,Snack ,scooter ,1,No ,Urban ,(min) 11,5.8312
0x9d26 ,BANGRES17DEL02 ,26,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,8:40:00,8:55:00,conditions Stormy,Low ,2,Buffet ,scooter ,0,No ,Metropolitian ,(min) 11,5.6929
0x9b18 ,BANGRES17DEL01 ,22,4.8,12.972532,77.608179,13.042532,77.678179,18-03-2022,23:00:00,23:10:00,conditions Fog,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 28,13.2024
0x5d99 ,CHENRES11DEL01 ,35,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25:00,17:30:00,conditions Cloudy,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 33,13.8425
0x4f0 ,MUMRES17DEL02 ,NaN ,NaN ,19.121999,72.908493,19.201999,72.988493,6/4/2022,NaN ,18:35:00,conditions Cloudy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 33,18.8862
0xb796 ,SURRES17DEL03 ,37,4.7,21.149569,72.772697,21.239569,72.862697,4/4/2022,19:45:00,19:50:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,3,No ,Metropolitian ,(min) 52,19.0922
0x85b4 ,MUMRES07DEL01 ,28,4.6,19.091458,72.827808,19.201458,72.937808,8/3/2022,19:10:00,19:25:00,conditions Stormy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 22,28.2647
0xc644 ,KOLRES16DEL02 ,37,4.9,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55:00,11:00:00,conditions Fog,Low ,1,Snack ,scooter ,1,No ,Urban ,(min) 16,4.7436
0x6999 ,MUMRES02DEL03 ,23,4.9,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40:00,21:45:00,conditions Sunny,Jam ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,(min) 11,13.2171
0x63b6 ,BANGRES05DEL03 ,27,4.9,12.970324,77.645748,13.030324,77.705748,19-03-2022,19:00:00,19:15:00,conditions Windy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 25,11.4202
0xa30b ,CHENRES11DEL01 ,37,4.8,13.064181,80.236442,13.104181,80.276442,9/3/2022,16:45:00,16:55:00,conditions Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 26,8.6582
0x3556 ,SURRES09DEL01 ,33,5,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30:00,11:40:00,conditions Sunny,High ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 18,2.4279
0x5554 ,RANCHIRES15DEL01 ,31,4.9,23.369746,85.33982,23.409746,85.37982,3/4/2022,15:10:00,15:15:00,conditions Fog,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 16,8.2702
0x25fd ,BANGRES19DEL01 ,31,4.8,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45:00,22:55:00,conditions Stormy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 23,23.5893
0x7ac8 ,COIMBRES14DEL02 ,28,4.8,11.003681,76.975525,11.083681,77.055525,4/4/2022,20:45:00,20:55:00,conditions Sandstorms,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 36,18.5099
0x3da1 ,SURRES08DEL03 ,31,4.7,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50:00,23:05:00,conditions Cloudy,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 16,11.2934
0x272d ,COIMBRES07DEL03 ,24,4.7,10.96185,76.971082,11.05185,77.061082,10/3/2022,17:55:00,18:00:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 19,23.3795
0xddc5 ,AGRRES12DEL03 ,39,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45:00,23:00:00,conditions Sunny,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 27,16.7777
0xb002 ,JAPRES14DEL01 ,32,4.5,26.88842,75.800689,26.89842,75.810689,26-03-2022,9:25:00,9:40:00,conditions Windy,Low ,2,Buffet ,scooter ,0,No ,NaN ,(min) 20,1.7957
0x8aa2 ,JAPRES18DEL02 ,25,4.8,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25:00,22:35:00,conditions Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Urban ,(min) 18,23.8659
0xb55a ,MYSRES04DEL03 ,33,4.9,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55:00,22:00:00,conditions Sunny,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,(min) 22,5.8732
0x73cc ,SURRES12DEL01 ,30,4.4,21.183434,72.814492,21.253434,72.884492,12/3/2022,22:40:00,22:55:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 34,15.0041
0xbe80 ,MUMRES04DEL01 ,33,5,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50:00,23:55:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 24,35.4377
0x1609 ,PUNERES02DEL01 ,36,4.9,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25:00,15:40:00,conditions Fog,Medium ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 17,8.5828
0xd255 ,ALHRES07DEL02 ,21,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20:00,10:30:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 14,3.6669
0xde72 ,DEHRES19DEL02 ,39,4.9,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55:00,21:00:00,conditions Stormy,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 30,14.7102
0xa258 ,CHENRES12DEL03 ,39,4.6,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10:00,20:15:00,conditions Cloudy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 36,20.0015
0x8b53 ,SURRES11DEL01 ,22,4.7,21.157735,72.768778,21.197735,72.808778,17-03-2022,12:10:00,12:15:00,conditions Sunny,High ,1,Buffet ,scooter ,1,No ,Urban ,(min) 18,7.9648
0xbbde ,SURRES01DEL01 ,32,4.6,21.186438,72.794115,21.226438,72.834115,15-03-2022,15:30:00,15:45:00,conditions Fog,Medium ,1,Meal ,scooter ,0,No ,Metropolitian ,(min) 17,7.6596
0xa9f ,BANGRES13DEL01 ,NaN ,NaN ,12.935662,77.61413,12.975662,77.65413,11/3/2022,NaN ,15:30:00,conditions NaN,NaN ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 19,8.619
0x4b7f ,HYDRES13DEL03 ,26,4.7,17.431477,78.40035,17.491477,78.46035,5/3/2022,23:50:00,0:05:00,conditions Fog,Low ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 10,22.002
0xb962 ,CHENRES11DEL03 ,35,4.1,13.064181,80.236442,13.154181,80.326442,12/3/2022,20:25:00,20:40:00,conditions Sandstorms,Jam ,1,Buffet ,motorcycle ,2,No ,Metropolitian ,(min) 37,17.0082
0x633c ,BANGRES010DEL03 ,39,4.6,12.933298,77.614293,13.023298,77.704293,29-03-2022,20:50:00,21:00:00,conditions Fog,Jam ,1,Drinks ,scooter ,2,No ,Metropolitian ,(min) 44,17.2912
0x2dc6 ,VADRES20DEL01 ,34,4.7,22.311358,73.164798,22.351358,73.204798,19-03-2022,12:35:00,12:45:00,conditions Windy,High ,2,Drinks ,electric_scooter ,1,No ,Metropolitian ,(min) 28,8.8643
0x903a ,BANGRES11DEL01 ,27,4.7,12.934365,77.616155,13.044365,77.726155,10/3/2022,21:00:00,21:15:00,conditions Cloudy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 42,21.4512
0x1fb7 ,CHENRES02DEL01 ,25,4.4,13.086438,80.220672,13.196438,80.330672,27-03-2022,18:15:00,18:20:00,conditions Cloudy,Medium ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 39,23.1758
0x34d7 ,MUMRES04DEL01 ,25,4.7,19.254567,72.848923,19.364567,72.958923,27-03-2022,18:20:00,18:25:00,conditions Stormy,Medium ,0,Meal ,motorcycle ,0,No ,Urban ,(min) 20,35.4377
0x156b ,JAPRES03DEL02 ,30,5,26.913483,75.803139,26.933483,75.823139,24-03-2022,11:45:00,11:50:00,conditions Stormy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 31,3.9473
0x56ad ,HYDRES04DEL03 ,24,4.6,17.411028,78.329645,17.471028,78.389645,9/3/2022,20:45:00,20:55:00,conditions Stormy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 13,13.757
0x837c ,PUNERES14DEL02 ,39,4.8,18.516216,73.842527,18.566216,73.892527,3/3/2022,21:55:00,22:10:00,conditions Stormy,Jam ,1,Meal ,motorcycle ,NaN ,No ,Metropolitian ,(min) 28,9.9789
0xcbc4 ,GOARES04DEL01 ,25,4.8,15.5696,73.742294,15.6096,73.782294,15-02-2022,12:45:00,12:50:00,conditions Windy,High ,1,Snack ,scooter ,1,No ,Urban ,(min) 19,8.2807
0xc19e ,AURGRES08DEL02 ,37,4.6,19.876428,75.364792,19.956428,75.444792,18-02-2022,23:30:00,23:45:00,conditions Fog,Low ,0,Buffet ,motorcycle ,2,Yes ,Urban ,(min) 42,13.9332
0x1d60 ,BANGRES12DEL01 ,24,5,12.939496,77.625999,12.949496,77.635999,1/3/2022,10:50:00,10:55:00,conditions Fog,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 23,2.3193
0x95fb ,HYDRES05DEL01 ,25,4.2,17.433809,78.386744,17.543809,78.496744,23-03-2022,21:25:00,21:40:00,conditions Stormy,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 39,30.6053
0x8195 ,RANCHIRES17DEL01 ,32,4.6,23.374878,85.335739,23.384878,85.345739,1/4/2022,10:10:00,10:20:00,conditions Stormy,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 25,3.0554
0x6d19 ,INDORES12DEL02 ,38,4.9,22.74806,75.8934,22.76806,75.9134,11/3/2022,8:40:00,8:55:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Urban ,(min) 15,4.4448
0x35e6 ,JAPRES15DEL03 ,36,4.8,26.891191,75.802083,26.981191,75.892083,14-03-2022,17:50:00,17:55:00,conditions Sunny,Medium ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,(min) 15,18.9037
0xb437 ,SURRES16DEL01 ,25,5,21.160437,72.774209,21.270437,72.884209,18-03-2022,20:25:00,20:40:00,conditions Stormy,Jam ,1,Meal ,motorcycle ,NaN ,No ,Metropolitian ,(min) 15,20.8332
0x97e3 ,MYSRES16DEL02 ,29,5,12.316967,76.603067,12.366967,76.653067,1/4/2022,22:20:00,22:25:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 18,14.7548
0xa3e0 ,MUMRES05DEL03 ,36,4.7,18.927584,72.832585,19.017584,72.922585,4/4/2022,23:40:00,23:50:00,conditions Sandstorms,Low ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,(min) 29,22.4769
0x4161 ,COIMBRES19DEL02 ,33,4.7,11.022298,76.998349,11.072298,77.048349,11/3/2022,23:25:00,23:30:00,conditions Fog,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 20,9.4642
0x1236 ,MYSRES07DEL01 ,36,4.4,12.325461,76.632278,12.365461,76.672278,13-03-2022,12:40:00,12:55:00,conditions Cloudy,High ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 39,9.0387
0x2558 ,PUNERES17DEL01 ,21,4.8,18.530963,73.828972,18.640963,73.938972,4/3/2022,23:30:00,23:45:00,conditions Windy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 19,24.5403
0x3185 ,HYDRES19DEL03 ,25,4.8,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55:00,0:10:00,conditions Cloudy,Low ,1,Snack ,scooter ,1,No ,Urban ,(min) 19,5.7353
0x3c57 ,MUMRES14DEL02 ,23,4.8,19.1813,72.836191,19.3113,72.966191,16-03-2022,22:50:00,23:00:00,conditions Windy,Low ,0,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 17,41.0936
0x4863 ,COIMBRES02DEL01 ,25,4.6,11.022477,76.995667,11.032477,77.005667,1/3/2022,10:25:00,10:40:00,conditions Stormy,Low ,2,Snack ,motorcycle ,1,No ,Urban ,(min) 15,2.5381
0x6757 ,INDORES05DEL02 ,24,4.3,22.727021,75.884167,22.747021,75.904167,15-03-2022,8:45:00,9:00:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,0,No ,Urban ,(min) 19,4.3001
0x22ad ,BANGRES03DEL03 ,27,4.6,12.979166,77.640709,13.069166,77.730709,4/3/2022,21:25:00,21:40:00,conditions Sandstorms,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 29,18.3805
0x9f99 ,MUMRES11DEL01 ,23,4.8,18.994237,72.825553,19.104237,72.935553,18-03-2022,22:35:00,22:40:00,conditions Cloudy,Low ,2,Snack ,scooter ,1,No ,Urban ,(min) 22,19.9536
0x6781 ,MYSRES12DEL02 ,21,4.3,12.284747,76.625861,12.414747,76.755861,23-03-2022,20:10:00,20:20:00,conditions Fog,Jam ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 42,31.4463
0x1b8d ,SURRES09DEL02 ,27,4.7,21.175975,72.795503,21.195975,72.815503,15-03-2022,10:55:00,11:10:00,conditions Sandstorms,Low ,2,Snack ,scooter ,0,No ,Urban ,(min) 12,5.0655
0x1aea ,COIMBRES12DEL02 ,32,4.2,11.000762,76.981876,11.130762,77.111876,8/3/2022,20:35:00,20:45:00,conditions Cloudy,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 38,27.5644
0x1e42 ,SURRES08DEL01 ,25,4.6,21.173343,72.792731,21.283343,72.902731,10/3/2022,23:20:00,23:35:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 23,21.8586
0xddc8 ,KNPRES05DEL02 ,39,4.7,26.479108,80.315042,26.499108,80.335042,11/2/2022,10:35:00,10:50:00,conditions Cloudy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,(min) 15,9.6619
0x24ac ,SURRES05DEL02 ,27,4.6,21.175104,72.804342,21.255104,72.884342,14-03-2022,23:45:00,23:50:00,conditions Sunny,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 24,16.5491
0x3f01 ,MUMRES15DEL01 ,39,3.8,19.176269,72.836721,19.286269,72.946721,16-03-2022,19:55:00,20:00:00,conditions Windy,Jam ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 37,24.808
0x628c ,BANGRES15DEL02 ,31,4.8,12.975377,77.696664,13.025377,77.746664,1/3/2022,22:15:00,22:25:00,conditions Sandstorms,Low ,1,Snack ,scooter ,0,No ,Metropolitian ,(min) 24,14.4038
0x6c38 ,RANCHIRES11DEL03 ,31,4.8,23.359194,85.325447,23.419194,85.385447,1/3/2022,23:10:00,23:15:00,conditions Sunny,Low ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,(min) 13,11.1151
0x4beb ,MYSRES08DEL01 ,20,4.8,12.297954,76.665169,12.307954,76.675169,30-03-2022,9:15:00,9:30:00,conditions Cloudy,Low ,0,Drinks ,motorcycle ,0,No ,NaN ,(min) 16,2.9586
0x8339 ,RANCHIRES07DEL02 ,36,4.9,23.359407,85.325055,23.439407,85.405055,2/3/2022,18:25:00,18:35:00,conditions Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 42,14.7347
0x3ec5 ,RANCHIRES01DEL03 ,20,4.9,23.416792,85.316842,23.506792,85.406842,20-03-2022,22:10:00,22:20:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 17,17.4188
0xadb4 ,JAPRES17DEL03 ,24,4.6,26.892312,75.806896,26.922313,75.836896,3/4/2022,20:50:00,21:05:00,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 25,6.1357
0x6e2 ,VADRES06DEL01 ,NaN ,NaN ,22.31279,73.170283,22.42279,73.280283,2/4/2022,NaN ,18:25:00,conditions NaN,NaN ,3,Snack ,electric_scooter ,0,No ,Metropolitian ,(min) 25,21.9902
0x2bc0 ,INDORES14DEL01 ,39,4.2,22.761593,75.886362,22.871593,75.996362,29-03-2022,18:45:00,18:50:00,conditions Fog,Medium ,1,Snack ,scooter ,0,No ,Metropolitian ,(min) 39,23.8391
0x99e7 ,COIMBRES17DEL01 ,37,4.8,11.026117,76.944652,11.066117,76.984652,17-03-2022,14:55:00,15:05:00,conditions Sunny,High ,2,Meal ,scooter ,0,No ,Metropolitian ,(min) 18,9.9986
0x39ef ,CHENRES11DEL01 ,32,4.9,13.064181,80.236442,13.104181,80.276442,17-03-2022,16:50:00,17:00:00,conditions Sandstorms,Medium ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 28,8.6582
0xe264 ,KNPRES17DEL02 ,22,4.5,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20:00,22:35:00,conditions Sandstorms,Low ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 18,12.2045
0xbd03 ,COIMBRES12DEL02 ,23,4.9,11.000762,76.981876,11.130762,77.111876,18-03-2022,0:00:00,0:15:00,conditions Windy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,(min) 18,27.5644
0x9a29 ,RANCHIRES04DEL01 ,33,4.7,23.359033,85.325347,23.469033,85.435347,8/3/2022,21:10:00,21:20:00,conditions Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 49,20.0238
0xd0e5 ,KOLRES17DEL03 ,23,NaN ,22.569358,88.433452,22.599358,88.463452,17-02-2022,23:25:00,23:35:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 15,8.334
0xa480 ,BANGRES19DEL02 ,27,4.6,12.914264,77.6784,12.994264,77.7584,31-03-2022,23:30:00,23:35:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 21,16.7783
